LebwohlLasher.py: Size: 50, Steps: 50, Exp. reps: 1, T*: 0.500: Order: 0.427, Mean ratio : 0.466, Time: 2.821494 s ± 0.000000 s
         1445791 function calls (1430277 primitive calls) in 3.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
   256/18    0.000    0.000    0.001    0.000 ast.py:403(visit)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
       85    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
     22/3    0.000    0.000    0.001    0.000 core.py:3944(streamline)
        1    0.000    0.000    0.001    0.001 font_manager.py:1570(_load_fontmanager)
   256/18    0.000    0.000    0.001    0.000 ast.py:409(generic_visit)
     6298    0.001    0.000    0.001    0.000 _parser.py:240(__next)
      703    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 helpers.py:603(make_html_tags)
      272    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 helpers.py:545(_makeTags)
        1    0.000    0.000    0.001    0.001 plistlib.py:1(<module>)
       51    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.001    0.000 typing.py:1850(__new__)
1480/1310    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     78/4    0.000    0.000    0.001    0.000 core.py:962(_parseCache)
       50    0.001    0.000    0.001    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      672    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
     30/4    0.000    0.000    0.001    0.000 core.py:3791(streamline)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
     6261    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
       39    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       52    0.001    0.000    0.001    0.000 twodim_base.py:158(eye)
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _text_helpers.py:1(<module>)
       22    0.000    0.000    0.001    0.000 core.py:5173(parseImpl)
     5486    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
