LebwohlLasher.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.806, Mean ratio : 0.410, Time: 3.863962 s ± 0.000000 s
         9130968 function calls (8727914 primitive calls) in 12.694 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.000    0.000    0.069    0.001 __init__.py:226(compile)
      590    0.000    0.000    0.069    0.000 builder.py:579(icmp_signed)
      182    0.000    0.000    0.069    0.000 errors.py:698(__init__)
      413    0.002    0.000    0.069    0.000 templates.py:271(_select)
     2034    0.021    0.000    0.068    0.000 utils.py:346(order_by_target_specificity)
11316/10140    0.011    0.000    0.068    0.000 contextlib.py:141(__exit__)
       36    0.001    0.000    0.068    0.002 interpreter.py:1438(post_process)
       36    0.011    0.000    0.067    0.002 byteflow.py:94(run)
15245/14680    0.053    0.000    0.067    0.000 {built-in method __new__ of type object at 0x936bc0}
     5571    0.005    0.000    0.066    0.000 __init__.py:174(search)
      413    0.013    0.000    0.066    0.000 context.py:636(resolve_overload)
        2    0.000    0.000    0.066    0.033 _base.py:1(<module>)
       36    0.000    0.000    0.066    0.002 typed_passes.py:557(run_pass)
        1    0.000    0.000    0.066    0.066 axes3d.py:1(<module>)
       36    0.000    0.000    0.066    0.002 ir_utils.py:2238(check_and_legalize_ir)
       78    0.002    0.000    0.065    0.001 callconv.py:868(call_function)
     1377    0.022    0.000    0.065    0.000 inspect.py:2393(_signature_from_function)
     2303    0.010    0.000    0.064    0.000 <frozen abc>:105(__new__)
  822/819    0.002    0.000    0.064    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.064    0.064 colors.py:1(<module>)
38410/38150    0.029    0.000    0.064    0.000 _utils.py:54(get_reference)
      540    0.001    0.000    0.063    0.000 passmanagers.py:758(run)
      573    0.022    0.000    0.062    0.000 numpy_support.py:357(ufunc_find_matching_loop)
327704/321949    0.060    0.000    0.062    0.000 {built-in method builtins.len}
     1207    0.053    0.000    0.062    0.000 instructions.py:201(__init__)
     1071    0.001    0.000    0.062    0.000 base.py:42(find)
3537/3508    0.010    0.000    0.062    0.000 abstract.py:61(__call__)
     4540    0.012    0.000    0.062    0.000 builder.py:967(extract_value)
      820    0.003    0.000    0.062    0.000 lowering.py:1460(storevar)
       34    0.000    0.000    0.060    0.002 arrayobj.py:148(fix_integer_index)
       34    0.000    0.000    0.060    0.002 slicing.py:15(fix_index)
       36    0.001    0.000    0.060    0.002 lowering.py:29(__init__)
        1    0.000    0.000    0.059    0.059 arrayobj.py:4401(codegen)
    45794    0.018    0.000    0.059    0.000 <frozen abc>:117(__instancecheck__)
      446    0.001    0.000    0.058    0.000 typeinfer.py:1493(resolve_value_type)
      119    0.004    0.000    0.058    0.000 ir.py:112(strformat)
      716    0.002    0.000    0.058    0.000 context.py:263(resolve_getattr)
    35270    0.023    0.000    0.058    0.000 event.py:100(__init__)
       25    0.000    0.000    0.058    0.002 castgraph.py:131(unsafe)
    30933    0.012    0.000    0.058    0.000 templates.py:1314(new_registrations)
    41978    0.045    0.000    0.057    0.000 pprint.py:102(_safe_tuple)
     2408    0.003    0.000    0.057    0.000 module.py:251(_next)
      271    0.002    0.000    0.057    0.000 _parser.py:969(parse)
      478    0.001    0.000    0.057    0.000 builder.py:834(cbranch)
       88    0.000    0.000    0.056    0.001 ir.py:611(infer_constant)
       36    0.002    0.000    0.056    0.002 typeinfer.py:1041(build_constraint)
      367    0.003    0.000    0.056    0.000 base.py:49(_find)
       36    0.001    0.000    0.055    0.002 typed_passes.py:883(run_pass)
     2231    0.004    0.000    0.055    0.000 value.py:220(is_declaration)
      364    0.001    0.000    0.055    0.000 __init__.py:469(entry_points)
  614/271    0.003    0.000    0.054    0.000 _parser.py:452(_parse_sub)
      952    0.001    0.000    0.054    0.000 typeinfer.py:1404(constrain_statement)
        2    0.000    0.000    0.054    0.027 __config__.py:1(<module>)
        9    0.000    0.000    0.054    0.006 _base.py:732(__init_subclass__)
        1    0.000    0.000    0.053    0.053 patches.py:1(<module>)
      577    0.005    0.000    0.053    0.000 cgutils.py:362(alloca_once)
      324    0.002    0.000    0.053    0.000 postproc.py:46(livemap)
      864    0.016    0.000    0.053    0.000 analysis.py:235(compute_cfg_from_blocks)
        1    0.000    0.000    0.053    0.053 _fontconfig_pattern.py:1(<module>)
      553    0.001    0.000    0.052    0.000 context.py:378(incref)
      800    0.002    0.000    0.052    0.000 typeinfer.py:1473(typeof_assign)
  749/303    0.021    0.000    0.052    0.000 _parser.py:512(_parse)
       24    0.001    0.000    0.052    0.002 callconv.py:122(raise_error)
      324    0.003    0.000    0.051    0.000 analysis.py:60(compute_live_map)
   164882    0.051    0.000    0.051    0.000 {method 'startswith' of 'str' objects}
     1083    0.004    0.000    0.051    0.000 extending.py:129(decorate)
     3072    0.010    0.000    0.051    0.000 base.py:352(install_registry)
       36    0.000    0.000    0.050    0.001 untyped_passes.py:138(run_pass)
7981/7876    0.005    0.000    0.050    0.000 manager.py:29(lookup)
     5724    0.009    0.000    0.050    0.000 cpu_options.py:16(__repr__)
     1404    0.007    0.000    0.049    0.000 context.py:287(find_matching_getattr_template)
59589/59354    0.025    0.000    0.049    0.000 {built-in method builtins.hasattr}
      648    0.003    0.000    0.048    0.000 analysis.py:71(fix_point)
7232/7224    0.004    0.000    0.048    0.000 manager.py:40(__getitem__)
